body,label
"Tebrikler! 1000 TL kazandınız. Hemen tıklayın ve ödülünüzü alın!",SPAM
"Bedava 10GB internet kazandınız! Son 24 saat, kaçırmayın!",SPAM
"6 AL 1 ÖDE! Anneler Günü kampanyası, son 2 gün!",SPAM
"Özel müşterimiz, 500 TL hediye çeki kazandınız. Hemen kullanın!",SPAM
"Çekilişe katıldınız! BMW araba kazanabilirsiniz. Linke tıklayın.",SPAM
"Kampanyadan yararlanmak için hemen tıklayın, fırsat kaçmasın!",SPAM
"Ücretsiz tatil kazandınız! Detaylar için numaramızı arayın.",SPAM
"Son gün! Yüzde 80 indirim, acele edin stoklar tükeniyor.",SPAM
"Anket doldurun 200 TL kazan! 5 dakika sürer, hemen başla.",SPAM
"Tebrikler seçildiniz! Özel teklifimizi kaçırmayın, bugün son.",SPAM
"Hediye kupon kazandınız. Kodu girin: KAZAN2026. Hemen kullanın!",SPAM
"Kredi kartı borcunuzu sıfırlıyoruz! Hemen başvurun faizsiz.",SPAM
"Marketimizde 3 al 1 öde kampanyası başladı! Bugün son gün.",SPAM
"Puan kazanmak için hemen alışveriş yapın, bonus katlandı!",SPAM
"Ücretsiz iPhone 15 kazanmak ister misiniz? Hemen katılın!",SPAM
"Özel indirim linkiniz hazır, sadece 2 saat geçerli!",SPAM
"Fırsat kampanyası! 1000 TL üzeri alışverişte 300 TL iade.",SPAM
"Kazan kazan! Her alışverişte çift puan, bugün son gün.",SPAM
"Bedava üyelik açıldı! Hemen kaydolun ve 50 TL bonus alın.",SPAM
"Kampanya: Telefonunuzu getirin 500 TL indirim kazanın!",SPAM
"Tebrikler! Çekilişimizde adınız çıktı. 0850 xxx xx xx arayın.",SPAM
"Son dakika kampanya! Yüzde 70 indirimli ürünler tükeniyor.",SPAM
"Hediye çekinizi kullanmak için son 1 gün! Kaçırmayın.",SPAM
"Ücretsiz deneme başlattınız, devam etmek için tıklayın.",SPAM
"Özel müşteri indirimi: Bugün alışverişte 200 TL geri ödeme.",SPAM
"Kampanyamıza katılın, her ay düzenli gelir kazanın!",SPAM
"Bedava tatil çekiliş sonuçları açıklandı, adınız listede!",SPAM
"Acil! Kredi limitiniz artırıldı. Onaylamak için tıklayın.",SPAM
"Süper fırsat! 5 ürün al 2 öde, stoklar sınırlı acele et.",SPAM
"VIP üyeliğiniz onaylandı. 1000 TL hoşgeldin bonusu sizi bekliyor!",SPAM
"Kazanan numaranız çekildi! Ödülünüzü almak için arayın.",SPAM
"Flash indirim başladı! Sadece 3 saat, yüzde 90 indirim.",SPAM
"Özel teklif: Bugün kaydolun 3 ay ücretsiz kullanın!",SPAM
"Dikkat! Hesabınız dondurulacak. Linke tıklayıp onaylayın.",SPAM
"Kredi başvurunuz onaylandı! 50.000 TL anında hesabınızda.",SPAM
"Kampanya kodu: BEDAVA50. Hemen kullanın süresi dolmadan!",SPAM
"Tebrikler çekilişi kazandınız! Ödül: 2 kişilik Maldivler turu.",SPAM
"Özel indirim! Alışveriş yapanlara 500 TL nakit iade.",SPAM
"Son şans! Ücretsiz aboneliğinizi şimdi aktifleştirin.",SPAM
"Büyük kampanya! Tüm ürünlerde yüzde 50 indirim, bugün son.",SPAM
"Hediye kazandınız! Almak için şu linke tıklayın: bit.ly/xxx",SPAM
"Özel müşteri teklifimiz: 0 faizli 24 ay taksit fırsatı!",SPAM
"Yeni kampanya! Her 100 TL alışverişe 20 TL bonus puan.",SPAM
"Çekilişimize katıldığınız için teşekkürler, kazandınız!",SPAM
"Bedava kargo ve yüzde 40 indirim sadece bu hafta sonu!",SPAM
"Özel davet: VIP etkinliğimize katılın hediye kazanın!",SPAM
"Hesabınıza 500 TL yüklendi! Hemen harcayın süre doluyor.",SPAM
"Kampanya! Arkadaşını getir 200 TL kazan, sınırsız kazanç!",SPAM
"Son 10 ürün kaldı! Hemen sipariş ver kaçırma.",SPAM
"Özel indirim kodunuz: INDİRİM30. Bugün son kullanım günü!",SPAM
"123456 iyzico doğrulama kodunuz ile işleme devam edebilirsiniz.",OK
"Hesabınızdan 250 TL işlem yapıldı. Siz yapmadıysanız 444 xx xx arayın.",OK
"Şifreniz başarıyla değiştirildi. Siz yapmadıysanız hemen arayın.",OK
"Dekontunuz hazır. İşlem no: 2026051400123. İyi günler.",OK
"Randevunuz 15 Mayıs saat 14:30 olarak onaylandı.",OK
"Paketiniz kargoya verildi. Takip no: 1234567890",OK
"Faturanız 450 TL olarak kesildi. Son ödeme tarihi: 20 Mayıs.",OK
"Hesabınıza 1500 TL para transferi gerçekleşti.",OK
"Kartınızdan 89 TL market alışverişi yapıldı.",OK
"Doğrulama kodunuz: 847291. 5 dakika geçerlidir.",OK
"Siparişiniz hazırlandı. Bugün teslim edilecek.",OK
"Başvurunuz alındı. 3 iş günü içinde dönüş yapılacak.",OK
"Sözleşmeniz yenilendi. Detaylar için müşteri hizmetlerini arayın.",OK
"İşlem başarılı. Hesap bakiyeniz: 3.250 TL",OK
"Yarın saat 10:00 doktor randevunuz bulunmaktadır.",OK
"Elektrik faturanız 320 TL. Son ödeme: 25 Mayıs 2026.",OK
"Uçuşunuz onaylandı. Check-in 2 saat önce başlar.",OK
"Şifre sıfırlama talebiniz alındı. Link 10 dakika geçerli.",OK
"Hesabınıza giriş yapıldı. Siz değilseniz şifrenizi değiştirin.",OK
"Kartınız başarıyla tanımlandı. İyi kullanımlar.",OK
"İade talebiniz onaylandı. 3-5 iş günü içinde hesabınıza yatar.",OK
"Toplantınız 16 Mayıs saat 09:00 olarak güncellendi.",OK
"Sigorta poliçeniz yenilendi. Yıllık prim: 1.200 TL",OK
"Krediniz onaylandı. Detaylar için şubenizi ziyaret edin.",OK
"Aboneliğiniz iptal edildi. Üzgünüz, tekrar bekleriz.",OK
"Vergi borcunuz sorgulandı. Bakiye: 0 TL. Borcunuz bulunmamaktadır.",OK
"Teslimat bugün 14:00-18:00 arasında yapılacak.",OK
"Şikayetiniz alındı. Referans no: 2026-48291",OK
"Güvenli alışveriş için SMS onay kodunuz: 334891",OK
"Hesap ekstreniz hazır. Mobil uygulamamızdan görüntüleyebilirsiniz.",OK
"Maaşınız hesabınıza yatırıldı. Bakiye: 8.750 TL",OK
"Otomatik ödeme talimatınız işleme alındı.",OK
"Kartınızın son kullanma tarihi yaklaşıyor. Yeni kart gönderildi.",OK
"Anlaşmazlık talebiniz incelemeye alındı. 5 iş günü sürer.",OK
"Kimlik doğrulamanız tamamlandı. Hesabınız aktif.",OK
"İşyeri başvurunuz değerlendiriliyor. Sonuç SMS ile bildirilecek.",OK
"Hesap limitiniz güncellendi. Yeni limit: 10.000 TL",OK
"Ödemeniz alındı. Teşekkür ederiz.",OK
"Rezervasyonunuz onaylandı. Otel: Grand Hotel, Giriş: 20 Mayıs",OK
"Seyahat sigortanız aktifleştirildi. İyi yolculuklar.",OK
"Banka hesabınız başarıyla açıldı. Kartınız 5 iş gününde gelecek.",OK
"Son ödeme uyarısı: Faturanızın son günü yarın.",OK
"İki faktörlü doğrulama kodunuz: 729183",OK
"Abonelik yenileme işleminiz tamamlandı.",OK
"Çağrı merkezimiz 7/24 hizmetinizdedir: 444 xx xx",OK
"Güvenlik uyarısı: Farklı konumdan giriş tespit edildi.",OK
"Hesabınızda şüpheli işlem tespit edildi. Kartınız geçici olarak durduruldu.",OK
"İşlem onayı için tek kullanımlık şifreniz: 561234",OK
"Borcunuz başarıyla ödendi. Bakiye: 0 TL",OK
"Hesap bilgileriniz güncellendi.",OK
"Kampanya başlattı! Yüzde 60 indirim tüm elektroniklerde, bugün biter!",SPAM
"Özel seçildiniz! 2000 TL değerinde çek kazandınız hemen kullanın.",SPAM
"Arkadaşlarına öner her biri için 100 TL kazan, sınır yok!",SPAM
"Büyük çekiliş! 10 kişiye araba, 100 kişiye altın verilecek katıl!",SPAM
"Ücretsiz danışmanlık! Yatırımla ayda 5000 TL kazan, hemen ara!",SPAM
"Özel üye indirimi aktifleştirildi! Bugün alışverişte yüzde 35 indirim.",SPAM
"Acele et! Sınırlı stok, en ucuz fiyatlar burada, hemen sipariş ver.",SPAM
"Hayalindeki tatil için özel fiyatlar! Erken rezervasyonda yüzde 50 indirim.",SPAM
"Yeni üyelere özel: İlk alışverişte 150 TL indirim kuponu!",SPAM
"Uyarı: Hesabınız kilitlendi. Açmak için şu linke tıklayın.",SPAM
"Banka müşterisi misiniz? Özel faizsiz kredi fırsatı sizi bekliyor!",SPAM
"Bugün kayıt olun yarın kazanmaya başlayın! Garanti gelir sistemi.",SPAM
"Özel promosyon: 500 TL değerinde ürünü sadece 49 TL'ye alın!",SPAM
"Dikkat müşterimiz! Puanlarınız siliyor, hemen kullanın!",SPAM
"Kampanya sona eriyor! Son 2 saat, fırsatı kaçırmayın!",SPAM
"Kazanan sizsiniz! Büyük ikramiye size çıktı, detaylar için arayın.",SPAM
"Ücretsiz premium üyelik! Bugün kaydolun 1 yıl bedava kullanın.",SPAM
"Özel teklif: Sigorta yaptırın 1000 TL hediye çeki kazanın!",SPAM
"İnanılmaz fırsat! 3 ay taksitle akıllı telefon, sıfır faiz!",SPAM
"Kazanç fırsatı! Evden çalış günde 500 TL kazan, hemen başla.",SPAM
"Merhaba, yarın saat 15:00 randevunuz bulunmaktadır. İyi günler.",OK
"Fatura ödemeniz alındı. Referans: TRX20260514001",OK
"Kargo şubenize ulaştı. Teslim almak için kimliğinizi getirin.",OK
"Hesabınıza EFT yapıldı. Gönderen: Ahmet Yılmaz. Tutar: 500 TL",OK
"Sistem bakımı nedeniyle 02:00-04:00 arası hizmet verilmeyecek.",OK
"Şifreniz 3 kez yanlış girildi. Güvenlik için hesabınız 30 dk kilitlendi.",OK
"Vergi numaranız doğrulandı. İşleminiz tamamlandı.",OK
"Sözleşme imzanız alındı. Kopyanız e-posta adresinize gönderildi.",OK
"Hesap hareketlerinizi görmek için mobil uygulamayı kullanabilirsiniz.",OK
"Aylık hesap özetiniz hazırlandı. Toplam işlem: 12, Tutar: 2.340 TL",OK
"Güvenlik sorunuzu güncellediniz. Değişiklik kaydedildi.",OK
"Taşıma işleminiz tamamlandı. Yeni adresiniz güncellendi.",OK
"İzin başvurunuz onaylandı. 20-25 Mayıs tarihleri arası.",OK
"SGK işleminiz tamamlandı. Sonuç için e-devlet'i kontrol edin.",OK
"Burs başvurunuz değerlendirme aşamasındadır.",OK
"Okul kayıt işleminiz tamamlandı. Öğrenci no: 2026001234",OK
"Maçınız 17 Mayıs saat 20:00'de başlayacak. Biletiniz hazır.",OK
"Abonelik ücretiniz 49 TL olarak tahsil edildi.",OK
"Doğum günün kutlu olsun! Özel gün indiriminiz hesabınızda.",OK
"İşe alım süreciniz tamamlandı. Başlangıç tarihiniz 1 Haziran.",OK
